Country Code,Country Name,Year,GDP_per_capita,CHE10_pct,z_score,GDP_Quartile
TGO,Togo,2006,552.50227125256,10.65,0.32970553804514546,Q1 (Lowest GDP)
UKR,Ukraine,2006,2366.494140625,8.36,0.0384179442151555,Q2
USA,United States,2006,46302.0008800056,5.42,0.511030624496939,Q4 (Highest GDP)
ZMB,Zambia,2006,1051.71714895686,1.85,1.0849174505533905,Q1 (Lowest GDP)
AFG,Afghanistan,2007,376.223152003876,4.84,0.6042671396545698,Q1 (Lowest GDP)
ARM,Armenia,2007,2962.70234594569,8.3,0.04806310095559986,Q2
BLR,Belarus,2007,4735.48107556066,2.23,1.0238314578639083,Q3
BTN,Bhutan,2007,1850.41570433398,3.73,0.7827025393527941,Q2
CHN,China,2007,2734.72709877693,18.85,1.647876959239236,Q2
CPV,Cabo Verde,2007,3324.57675212498,2.05,1.0527669280852419,Q3
GEO,Georgia,2007,2635.36650276116,17.74,1.469441559541011,Q2
GIN,Guinea,2007,650.148575304743,4.3,0.6910735503185709,Q1 (Lowest GDP)
HUN,Hungary,2007,13934.605460375,11.54,0.4727753630284063,Q4 (Highest GDP)
IDN,Indonesia,2007,1823.21976255073,2.54,0.973998148038278,Q2
IND,India,2007,1021.88707706826,12.98,0.704259124799076,Q1 (Lowest GDP)
ISR,Israel,2007,25721.2594077311,12.22,0.5820871394201116,Q4 (Highest GDP)
KAZ,Kazakhstan,2007,6449.43931096532,3.29,0.853433688782721,Q4 (Highest GDP)
KGZ,Kyrgyz Republic,2007,721.771577544361,2.64,0.9579228868042037,Q1 (Lowest GDP)
LBR,Liberia,2007,374.211308104278,7.87,0.11718672426211932,Q1 (Lowest GDP)
LVA,Latvia,2007,13370.9789452508,15.37,1.088457868293451,Q4 (Highest GDP)
MDA,Moldova,2007,1531.21618590748,14.45,0.9405654649399676,Q2
MNE,Montenegro,2007,5971.84638953467,7.64,0.15415982510049023,Q3
NER,Niger,2007,387.168065883301,1.62,1.1218905513917612,Q1 (Lowest GDP)
PAK,Pakistan,2007,998.090114197524,2.71,0.9466702039403517,Q1 (Lowest GDP)
PER,Peru,2007,3581.0893081917,11.34,0.44062484056025786,Q3
POL,Poland,2007,11272.5293683383,14.18,0.8971622596079671,Q4 (Highest GDP)
ROU,Romania,2007,8360.33775916596,10.57,0.31684532905788604,Q4 (Highest GDP)
SVK,Slovak Republic,2007,16110.4817265237,4.25,0.699111180935608,Q4 (Highest GDP)
SYR,Syrian Arab Republic,2007,1937.61138578027,6.88,0.27633181047945465,Q2
TJK,Tajikistan,2007,516.997210618914,6.46,0.34384790766256657,Q1 (Lowest GDP)
TZA,Tanzania,2007,543.198303222656,2.24,1.0222239317405009,Q1 (Lowest GDP)
UKR,Ukraine,2007,3160.32763671875,9.07,0.07571641054677196,Q2
USA,United States,2007,48050.2237771135,4.93,0.589799404543903,Q4 (Highest GDP)
AGO,Angola,2008,4578.15526451517,12.29,0.5933398222839633,Q3
ALB,Albania,2008,4498.50486763601,13.91,0.8537590542759667,Q3
ARM,Armenia,2008,3777.66859313767,8.26,0.05449320544922971,Q3
BLR,Belarus,2008,6376.17569162063,2.87,0.9209497859658329,Q3
BRA,Brazil,2008,8908.33338467948,15.07,1.0402320845912283,Q4 (Highest GDP)
CAF,Central African Republic,2008,437.24827472489,6.75,0.2972296500837512,Q1 (Lowest GDP)
COL,Colombia,2008,5541.83629665898,20.01,1.8343499895544975,Q3
EGY,"Egypt, Arab Rep.",2008,1896.21594269779,12.57,0.6383505537393714,Q2
GEO,Georgia,2008,3324.7537205015,22.12,2.1735380015934647,Q3
HRV,Croatia,2008,15888.0606949392,2.27,1.0174013533702786,Q4 (Highest GDP)
ISR,Israel,2008,30269.217773489,11.09,0.40043668747507216,Q4 (Highest GDP)
JAM,Jamaica,2008,5029.80095281745,3.79,0.7730573826123496,Q3
JOR,Jordan,2008,3241.6524135556,1.72,1.105815290157687,Q2
KAZ,Kazakhstan,2008,8123.54705891736,3.65,0.7955627483400536,Q4 (Highest GDP)
KGZ,Kyrgyz Republic,2008,966.388569370494,3.67,0.7923476960932387,Q1 (Lowest GDP)
LTU,Lithuania,2008,14955.5345462921,12.85,0.6833612851947793,Q4 (Highest GDP)
LVA,Latvia,2008,15677.6080864506,15.1,1.0450546629614503,Q4 (Highest GDP)
MDA,Moldova,2008,2110.55305353857,14.93,1.0177267188635242,Q2
MNE,Montenegro,2008,7359.95118960869,6.86,0.27954686272626944,Q4 (Highest GDP)
MOZ,Mozambique,2008,592.159111184122,1.19,1.1910141746982807,Q1 (Lowest GDP)
PER,Peru,2008,4197.58444634142,11.57,0.47759794139862877,Q3
POL,Poland,2008,14048.5604672654,14.0,0.8682267893866334,Q4 (Highest GDP)
ROU,Romania,2008,10435.1561230787,11.48,0.4631302062879619,Q4 (Highest GDP)
SVK,Slovak Republic,2008,18744.3192278346,4.72,0.623557453135459,Q4 (Highest GDP)
UKR,Ukraine,2008,4017.806640625,5.83,0.4451220534372345,Q3
USA,United States,2008,48570.0459804586,4.56,0.6492778711099778,Q4 (Highest GDP)
ARM,Armenia,2009,2820.5926553347,9.74,0.18342066081506958,Q2
BEL,Belgium,2009,44923.3400135081,11.45,0.45830762791773944,Q4 (Highest GDP)
BFA,Burkina Faso,2009,601.569520671859,3.54,0.8132455356975353,Q1 (Lowest GDP)
BLR,Belarus,2009,5352.48809190697,3.22,0.8646863716465728,Q3
BWA,Botswana,2009,5082.93388332404,1.06,1.2119120143025772,Q3
GEO,Georgia,2009,2822.68939668797,26.06,2.80690329421599,Q2
HRV,Croatia,2009,14474.6519774194,2.46,0.9868583570255374,Q4 (Highest GDP)
IDN,Indonesia,2009,2218.48541852977,3.5,0.819675640191165,Q2
IND,India,2009,1094.94974598436,14.14,0.8907321551143376,Q2
IRL,Ireland,2009,52133.0906162544,5.59,0.48370268039901276,Q4 (Highest GDP)
IRN,"Iran, Islamic Rep.",2009,5415.52280553446,13.69,0.8183934795610032,Q3
ISR,Israel,2009,28508.4938886475,12.41,0.6126301357648526,Q4 (Highest GDP)
JAM,Jamaica,2009,4428.38153333557,4.91,0.5930144567907177,Q3
KAZ,Kazakhstan,2009,6938.01175663001,2.65,0.9563153606807963,Q4 (Highest GDP)
KGZ,Kyrgyz Republic,2009,870.198894546917,3.97,0.7441219123910158,Q1 (Lowest GDP)
KHM,Cambodia,2009,875.748936193569,20.79,1.9597370271802763,Q1 (Lowest GDP)
LKA,Sri Lanka,2009,2026.65939950702,4.14,0.7167939682930897,Q2
LVA,Latvia,2009,11996.0322729773,15.46,1.102925603404118,Q4 (Highest GDP)
MDA,Moldova,2009,1898.43975710988,16.53,1.2749308986087127,Q2
MKD,North Macedonia,2009,4799.78722768888,5.27,0.5351435163480505,Q3
