Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
EST,Estonia,2011,17555.5455239426,8.02,50-75%
ETH,Ethiopia,2011,343.024942351887,1.96,Lowest 25%
GEO,Georgia,2011,4119.66818307193,23.97,Highest 25%
GTM,Guatemala,2011,3168.98370607705,9.36,50-75%
IDN,Indonesia,2011,3579.46442466152,3.87,25-50%
IND,India,2011,1445.46127486037,18.13,Highest 25%
ISR,Israel,2011,34522.5215979073,11.18,50-75%
KAZ,Kazakhstan,2011,11287.1464926039,1.83,Lowest 25%
KGZ,Kyrgyz Republic,2011,1117.40174350185,3.54,Lowest 25%
KHM,Cambodia,2011,1088.98152823081,11.57,50-75%
MDA,Moldova,2011,2941.36224066021,15.63,Highest 25%
MKD,North Macedonia,2011,5416.86672931659,7.33,25-50%
MLI,Mali,2011,938.292902583696,2.57,Lowest 25%
MNE,Montenegro,2011,7265.51668681954,9.31,50-75%
NER,Niger,2011,510.75956176268,6.63,25-50%
PAK,Pakistan,2011,1131.73513834324,3.76,25-50%
POL,Poland,2011,13867.6669408192,13.9,Highest 25%
ROU,Romania,2011,9560.6755277458,13.02,Highest 25%
RUS,Russian Federation,2011,14305.33203125,3.93,25-50%
SEN,Senegal,2011,1374.67591873844,3.33,Lowest 25%
TCD,Chad,2011,1308.1421872538,8.69,50-75%
UKR,Ukraine,2011,3656.69799804688,7.01,25-50%
USA,United States,2011,50024.868799398,4.72,25-50%
XKX,Kosovo,2011,3538.94759838576,7.11,25-50%
ALB,Albania,2012,4280.93316338873,16.72,Highest 25%
ARM,Armenia,2012,3511.56399687426,13.9,Highest 25%
BLR,Belarus,2012,6953.21591683101,4.38,25-50%
BTN,Bhutan,2012,2751.2128864294,4.01,25-50%
COD,"Congo, Dem. Rep.",2012,409.931424783784,4.82,25-50%
DJI,Djibouti,2012,1400.19357858954,2.27,Lowest 25%
EGY,"Egypt, Arab Rep.",2012,2996.0677072015,26.35,Highest 25%
GIN,Guinea,2012,699.353377212197,6.98,25-50%
HTI,Haiti,2012,1361.39396587374,9.43,50-75%
IDN,Indonesia,2012,3632.27254030331,3.45,Lowest 25%
IRQ,Iraq,2012,6477.59618450955,3.81,25-50%
ISR,Israel,2012,33321.4300881602,10.6,50-75%
JAM,Jamaica,2012,5340.83333232158,2.08,Lowest 25%
KAZ,Kazakhstan,2012,12018.7966527993,1.91,Lowest 25%
