Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,GGHE_pct,DEA_Efficiency
Thailand,THA,2006,338.253744775406,3.59,96.41,12.11568642,0.15719809537458235
Turkiye,TUR,2006,694.463456352896,5.0,95.0,10.55690098,0.122120055870401
Ukraine,UKR,2006,492.702278504541,8.36,91.64,8.69689655,0.16049527987269152
United States,USA,2006,6802.47531175785,5.42,94.58,18.57419968,0.06857691916446584
Viet Nam,VNM,2006,193.640564043264,14.41,85.59,8.76698685,0.23176261861303118
Zambia,ZMB,2006,132.630006451562,1.85,98.15,6.74704027,0.3523591669022608
Afghanistan,AFG,2007,112.257676068474,4.84,95.16,2.61078191,0.6100787726817056
Armenia,ARM,2007,409.876589128493,8.3,91.7,7.19854879,0.19340054437613635
Bosnia and Herzegovina,BIH,2007,783.072519407999,10.25,89.75,11.32833004,0.11244034959278057
Belarus,BLR,2007,724.905798469884,3.43,96.57,8.12453842,0.15677953923688878
Bhutan,BTN,2007,200.374591325424,3.43,96.57,7.46379232,0.25969328709726397
Canada,CAN,2007,3710.89179416931,4.0,96.0,17.06818199,0.07462783035394648
Switzerland,CHE,2007,4799.64459898341,10.36,89.64,9.55602741,0.13329402850676805
China,CHN,2007,249.507331917602,18.44,81.56,7.90135717,0.2285575434062359
Cameroon,CMR,2007,106.932220315413,8.01,91.99,4.22608185,0.46123839686044976
Cabo Verde,CPV,2007,213.885371355189,2.05,97.95,10.09019661,0.21923343050397007
Czechia,CZE,2007,1580.4068099117,1.42,98.58,12.40300465,0.22003959895429592
Dominican Republic,DOM,2007,408.435473321699,17.66,82.34,10.32302856,0.1599682741896325
Spain,ESP,2007,2616.33450211378,5.4,94.6,14.58656883,0.08732426418063906
Georgia,GEO,2007,509.377429745209,17.74,82.26,3.95363283,0.32217493246584555
Hungary,HUN,2007,1374.43367482925,11.54,88.46000000000001,9.79407406,0.1300542942800657
Indonesia,IDN,2007,217.952233217532,2.54,97.46,5.43742085,0.3068718033893567
India,IND,2007,125.625045286917,12.98,87.02,2.78734279,0.5594538971188323
"Iran, Islamic Rep.",IRN,2007,783.170073777322,11.41,88.59,11.53469467,0.11042870456838888
Israel,ISR,2007,1945.01643137125,12.12,87.88,9.88249969,0.12889060763532392
Kazakhstan,KAZ,2007,448.215051223121,3.29,96.71,7.57602596,0.18014607435185603
Kyrgyz Republic,KGZ,2007,190.386904926958,2.64,97.36,10.42505074,0.22150870245241114
St. Kitts and Nevis,KNA,2007,1021.86425510155,4.13,95.87,6.48289871,0.1964802238904642
"Korea, Rep.",KOR,2007,1516.24020907675,11.83,88.17,10.11632919,0.12591142163099212
Lao PDR,LAO,2007,106.445277999075,10.12,89.88,3.90299487,0.4872800396358054
Liberia,LBR,2007,52.6807179584917,7.86,92.14,4.25491762,0.547604586537181
Latvia,LVA,2007,1001.82521819784,15.37,84.63,9.7152071,0.13111006043298834
Moldova,MDA,2007,416.696585079543,14.45,85.55,13.18110943,0.13695101916306537
Pakistan,PAK,2007,96.3473914159621,2.71,97.29,2.82084775,0.6331228854423233
Panama,PAN,2007,996.273372500364,3.31,96.69,22.24735832,0.0702982241721177
Poland,POL,2007,986.993088290802,14.18,85.82,9.54005432,0.13351720517247567
West Bank and Gaza,PSE,2007,298.075140046378,9.39,90.61,7.4269166,0.22100032628722546
Romania,ROU,2007,680.145225085951,10.57,89.43,10.90507507,0.12169562202560462
Serbia,SRB,2007,1051.51854596173,11.41,88.59,13.55892181,0.09394267537265193
Slovak Republic,SVK,2007,1523.9607583405,3.74,96.26,13.72518253,0.09280469583671164
Slovenia,SVN,2007,2079.35415446143,2.63,97.37,12.17958164,0.10458170302145162
Syrian Arab Republic,SYR,2007,205.521887831326,6.88,93.12,6.85482645,0.2684713051437768
Thailand,THA,2007,374.292196480279,3.14,96.86,12.38446522,0.15041601787803036
Tajikistan,TJK,2007,108.730947290951,6.46,93.54,5.30023098,0.3914716399500828
Timor-Leste,TLS,2007,85.6384888858452,2.36,97.64,1.27376139,0.9999999999999998
Turkiye,TUR,2007,772.124718326201,5.14,94.86,10.95228481,0.11630097391523173
Tanzania,TZA,2007,121.511256918191,2.24,97.76,10.88657188,0.2993275300196805
Ukraine,UKR,2007,515.896755347899,9.07,90.93,8.16024208,0.16144671783965278
Angola,AGO,2008,221.018857513397,12.26,87.74,4.0603714,0.3508159804885908
Albania,ALB,2008,446.390677735541,13.91,86.09,7.25106478,0.1843028844439814
Armenia,ARM,2008,542.033589305765,8.26,91.74,6.69246197,0.1903277741001486
Belarus,BLR,2008,759.896155071899,4.06,95.94,5.80340672,0.2194851147706568
Brazil,BRA,2008,1077.13686756609,15.07,84.93,8.77957535,0.14508234615242566
Central African Republic,CAF,2008,32.8893014008349,6.75,93.25,5.28349304,0.5944049112543374
Canada,CAN,2008,3850.42762549652,4.3,95.7,17.28190994,0.07370489687900784
Switzerland,CHE,2008,5132.87084124926,6.9,93.1,9.77972221,0.13024515038858195
Cote d'Ivoire,CIV,2008,127.226094166407,17.44,82.56,4.65788126,0.4080996064949506
Colombia,COL,2008,698.00166072678,20.01,79.99,16.6930294,0.09659776541230461
Czechia,CZE,2008,1777.90515369627,1.96,98.04,12.54553795,0.15089640816176214
"Egypt, Arab Rep.",EGY,2008,384.65691893663,12.57,87.43,4.69924688,0.2710564953335673
Spain,ESP,2008,2828.64095120369,5.84,94.16,14.82287312,0.08593215226819632
Fiji,FJI,2008,251.365178279479,0.78,99.22,9.78181839,0.3803031686824722
Georgia,GEO,2008,607.99154245463,22.12,77.88,4.83068514,0.26368131084610436
Grenada,GRD,2008,592.486456865113,3.17,96.83,7.03745365,0.18099748195144463
Croatia,HRV,2008,1603.33224521352,2.27,97.73,13.83800697,0.10211783522827204
"Iran, Islamic Rep.",IRN,2008,825.853896161973,12.6,87.4,9.47516823,0.13443153293754223
Israel,ISR,2008,1972.62167521108,11.04,88.96000000000001,9.93712139,0.12818213041875715
Jordan,JOR,2008,762.560761124852,1.72,98.28,15.12543488,0.14972566198234316
Kazakhstan,KAZ,2008,522.794475411084,3.65,96.35,8.41329765,0.1580521186389436
Kyrgyz Republic,KGZ,2008,196.927856024391,3.67,96.33,10.38534927,0.20824765725087752
"Korea, Rep.",KOR,2008,1661.10742127808,11.1,88.9,9.79573822,0.1300321998600734
