Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,OOP_pct
Grenada,GRD,2008,0.13277669490605004,96.83,592.486456865113,55.20097733
Croatia,HRV,2008,0.10681405217292207,97.73,1603.33224521352,14.51390839
"Iran, Islamic Rep.",IRN,2008,0.11436174909430441,87.4,825.853896161973,55.47851181
Israel,ISR,2008,0.08243780467392112,88.96000000000001,1972.62167521108,25.34702873
Jordan,JOR,2008,0.15388441107773557,98.28,762.560761124852,31.94139099
Kazakhstan,KAZ,2008,0.21659577122217136,96.35,522.794475411084,23.87804604
Kyrgyz Republic,KGZ,2008,0.204299991047928,96.33,196.927856024391,48.67649078
"Korea, Rep.",KOR,2008,0.08423212862565173,88.9,1661.10742127808,41.62781525
Lithuania,LTU,2008,0.11206466672742367,87.15,1298.46141307335,28.17394638
Latvia,LVA,2008,0.11647473943481475,84.9,1085.89409916753,37.30623627
Moldova,MDA,2008,0.1592021090954351,85.07,455.954977328121,48.42182159
Mexico,MEX,2008,0.12011863135002201,96.42,853.944386403223,48.59585571
Malta,MLT,2008,0.07478538276425249,83.8,2093.54365749167,32.99180222
Mozambique,MOZ,2008,0.9999999999999998,98.81,37.8828062319655,11.20337486
Panama,PAN,2008,0.13228608200123446,96.91,1014.27274369661,29.21657181
Peru,PER,2008,0.1788276804725931,88.43,402.027471399456,43.35043335
Poland,POL,2008,0.12580510905932488,86.0,1167.31725923555,24.43056297
Romania,ROU,2008,0.1734987582560472,88.52,838.941273393197,18.1821537
Serbia,SRB,2008,0.11151628711679043,90.42,1195.34585866273,35.14710617
Slovak Republic,SVK,2008,0.09863012524843844,95.66,1651.42538569973,21.02014542
Thailand,THA,2008,0.30038569767446655,97.03,417.271091770892,14.7017622
Turkiye,TUR,2008,0.17229106528040075,96.26,830.845515993442,19.18195724
Ukraine,UKR,2008,0.17840987308512293,94.17,493.712551015265,37.78808594
United States,USA,2008,0.025873729753172706,95.44,7364.93852233971,13.35935974
Viet Nam,VNM,2008,0.2562760930123656,85.45,211.215031699394,34.57612991
South Africa,ZAF,2008,0.18909559906498208,97.07,895.346293557967,8.84287548
Armenia,ARM,2009,0.11026562383291767,90.26,598.690644088707,73.63291931
Australia,AUS,2009,0.050918635802437405,97.67,3545.91580074301,19.05284309
Belgium,BEL,2009,0.045000153988166744,88.55,4010.79218849231,21.65153122
Burkina Faso,BFA,2009,0.4673707355647021,96.48,70.6610282519379,32.9610939
Belarus,BLR,2009,0.15666863369115325,96.47,756.308025796097,30.91816902
Botswana,BWA,2009,0.2278613957726644,99.0,773.701880162555,5.42353058
Canada,CAN,2009,0.04478151114485228,95.6,4135.87675541776,15.17220497
Switzerland,CHE,2009,0.03383203691063922,90.95,5376.38982986911,26.20129585
Cyprus,CYP,2009,0.06490959046976555,83.95,2221.2153603373,49.92380524
Czechia,CZE,2009,0.08688537068382504,97.81,2015.82280237493,15.05053902
Spain,ESP,2009,0.05981819240369003,94.46,2955.29403383697,20.15493011
Georgia,GEO,2009,0.11044179245154787,73.94,671.538278027402,68.90898895
Croatia,HRV,2009,0.10583158850875754,97.54,1632.66807796462,13.74662781
Indonesia,IDN,2009,0.1941707788959157,96.5,221.317461135779,49.22135544
India,IND,2009,0.23642749255153164,86.03,137.832924244441,66.75775146
Ireland,IRL,2009,0.04280817923564469,94.41,4377.33388396938,12.70052719
"Iran, Islamic Rep.",IRN,2009,0.10229581499997632,86.28,1019.30810861941,56.02760696
Israel,ISR,2009,0.0812877443756763,87.63,2005.12422766386,25.41890717
Kazakhstan,KAZ,2009,0.20383714213713464,97.35,604.017205076549,22.34545326
Kyrgyz Republic,KGZ,2009,0.23580960920685942,96.03,213.318574250138,38.58998489
Cambodia,KHM,2009,0.21432234529940655,81.23,180.060072048816,50.50344467
"Korea, Rep.",KOR,2009,0.0816309238475953,87.89,1774.55079351671,39.17741013
Sri Lanka,LKA,2009,0.16889754121907513,95.31,307.323766913595,53.28553009
Latvia,LVA,2009,0.11890365210413498,84.53999999999999,1027.84755532368,38.7826767
Moldova,MDA,2009,0.15444422746303588,83.47,539.448048941415,45.5789299
Maldives,MDV,2009,0.10918157205229226,80.17,1246.25421091543,34.3166008
North Macedonia,MKD,2009,0.1540807453039129,94.73,715.295820862808,34.79013824
Mali,MLI,2009,0.3238903609146422,95.59,85.4614217296957,61.83517075
Mongolia,MNG,2009,0.28617861303000636,98.16,320.582945927231,22.75947571
Namibia,NAM,2009,0.2144729331220495,98.78,790.02046121138,7.75814581
Nigeria,NGA,2009,0.20061581664320208,75.23,167.29287939511,74.47493744
Nicaragua,NIC,2009,0.2149943813017783,83.82,298.184161231995,38.31826782
Peru,PER,2009,0.1796865472737989,89.36,446.02163620985,40.27733994
Philippines,PHL,2009,0.18459151700046955,95.5,214.775827535002,55.57599258
Poland,POL,2009,0.11825545332609519,85.6,1267.95639009306,24.36023712
West Bank and Gaza,PSE,2009,0.19423279185094292,91.11,381.552064533282,39.20000076
Romania,ROU,2009,0.16236633438173667,87.85,874.741534913346,20.78450394
Sudan,SDN,2009,0.18167553731338668,81.64,238.635902014846,52.47582245
Serbia,SRB,2009,0.11318319219051859,91.7,1169.15938066497,35.16513443
Slovak Republic,SVK,2009,0.08934284288928099,95.52,1835.70926035238,22.41773987
Thailand,THA,2009,0.2851032459170666,96.78,433.026646176125,15.90248966
Tajikistan,TJK,2009,0.2448355328717525,84.62,127.116609488583,69.63989258
Turkiye,TUR,2009,0.18226188913425423,96.41,843.466123168682,14.5079031
Uganda,UGA,2009,0.3039607808816534,83.23,117.703625454614,42.84917831
Ukraine,UKR,2009,0.17696403121734938,93.17,508.99051432093,37.39500427
United States,USA,2009,0.02508441335057452,95.3,7614.82434448835,12.64764786
Armenia,ARM,2010,0.1019027523753229,82.48,680.693748561581,77.62413025
Bangladesh,BGD,2010,0.3544903374784433,85.78,64.837141432994,67.95515442
Bulgaria,BGR,2010,0.11214866123706516,87.16,1057.35085846301,43.14134216
Belarus,BLR,2010,0.1469568116386139,95.56,867.113271693257,29.16505241
Switzerland,CHE,2010,0.03367495926627494,91.85,5437.63100515866,24.06636429
Czechia,CZE,2010,0.08415655314129233,98.05,2108.1628537198,13.85482121
Germany,DEU,2010,0.04343142958254871,98.47,4301.94597121756,13.30298233
Denmark,DNK,2010,0.041021446236370745,97.07,4560.71864377435,13.7077713
Spain,ESP,2010,0.0600621888093034,94.3,2922.45425954828,21.3734436
Estonia,EST,2010,0.10961296867317101,91.21000000000001,1423.47459356654,22.81398773
United Kingdom,GBR,2010,0.05183844487173052,98.27,3571.77385068927,13.17372036
Georgia,GEO,2010,0.1071078209212003,75.03999999999999,676.195197328827,72.06796265
"Gambia, The",GMB,2010,0.5129564197116693,99.39,93.3813316866521,18.03235817
Guinea-Bissau,GNB,2010,0.41574598948209746,93.74,66.7221573057338,48.0497551
Greece,GRC,2010,0.06262062810394001,85.36,2678.7488914962,28.25885201
Croatia,HRV,2010,0.10758396525874879,97.2,1599.12012876857,13.95677757
Indonesia,IDN,2010,0.16981938569722882,96.55,233.134813024442,60.58386612
"Iran, Islamic Rep.",IRN,2010,0.09515115264642363,86.28,1109.26115388183,59.39722061
