iso3,country,year,income_group,fpe_score,phi,peers
POL,Poland,2016,H,0.885401924342543,1.1294305698991474,"BRB,URY"
URY,Uruguay,2016,H,1.0,1.0,URY
BTN,Bhutan,2017,LM,1.0,1.0,BTN
GEO,Georgia,2017,LM,0.7139438085327786,1.4006704562017194,SLV
IDN,Indonesia,2017,LM,0.9999999999999998,1.0000000000000002,IDN
IND,India,2017,LM,1.0000000000000002,0.9999999999999999,IND
MMR,Myanmar,2017,LM,1.0,1.0,MMR
SLV,El Salvador,2017,LM,0.9999999999999998,1.0000000000000002,SLV
UKR,Ukraine,2017,LM,0.9646201873048909,1.0366774541531822,SLV
ALB,Albania,2017,UM,0.9381432688349116,1.0659352715304442,KAZ
ARM,Armenia,2017,UM,0.8085631947303418,1.2367617107942972,KAZ
BLR,Belarus,2017,UM,0.9314808074276684,1.0735594249779026,"GAB,KAZ"
BRA,Brazil,2017,UM,1.0000000000000004,0.9999999999999997,BRA
GAB,Gabon,2017,UM,1.0000000000000002,0.9999999999999998,GAB
IRQ,Iraq,2017,UM,0.8360383032569049,1.1961174459404065,"GAB,KAZ"
JOR,Jordan,2017,UM,0.966015281098455,1.0351803119127692,"GAB,KAZ"
KAZ,Kazakhstan,2017,UM,1.0,1.0,KAZ
MUS,Mauritius,2017,UM,0.944833264717991,1.05838779956427,KAZ
PER,Peru,2017,UM,0.9522985581767005,1.050090847469758,"GAB,KAZ"
ARG,Argentina,2017,H,1.0,1.0,ARG
CAN,Canada,2017,H,1.0,1.0,CAN
HUN,Hungary,2017,H,1.0,1.0,HUN
PAN,Panama,2017,H,0.9999999999999998,1.0000000000000002,PAN
POL,Poland,2017,H,1.0,1.0,POL
IDN,Indonesia,2018,LM,1.0,1.0,IDN
MNG,Mongolia,2018,LM,0.9670330805035108,1.0340907877518772,"IDN,SLV"
PAK,Pakistan,2018,LM,1.0,1.0,PAK
SLV,El Salvador,2018,LM,1.0,1.0,SLV
UKR,Ukraine,2018,LM,0.9547572212444324,1.0473866840164854,SLV
VNM,Viet Nam,2018,LM,0.9391894730478965,1.0647478796315282,"IDN,SLV"
BLR,Belarus,2018,UM,1.0,1.0,BLR
CHN,China,2018,UM,0.7767734031865031,1.2873767251785013,"KAZ,MEX"
CRI,Costa Rica,2018,UM,1.0000000000000002,0.9999999999999998,CRI
DOM,Dominican Republic,2018,UM,1.0,1.0,DOM
GEO,Georgia,2018,UM,0.7181249358908609,1.3925153549492923,MEX
KAZ,Kazakhstan,2018,UM,1.0000000000000002,0.9999999999999998,KAZ
MEX,Mexico,2018,UM,1.0,1.0,MEX
MKD,North Macedonia,2018,UM,0.939598320236561,1.0642845761455084,"KAZ,MEX"
PER,Peru,2018,UM,1.0,1.0,PER
SRB,Serbia,2018,UM,0.9341702544516698,1.070468680879772,"KAZ,MEX"
KHM,Cambodia,2019,LM,1.0,1.0,KHM
MAR,Morocco,2019,LM,1.0,1.0,MAR
SLV,El Salvador,2019,LM,1.0,1.0,SLV
UKR,Ukraine,2019,LM,0.9555972482801752,1.0464659685863873,SLV
ARM,Armenia,2019,UM,0.7709038678567766,1.2971785999467658,IDN
BLR,Belarus,2019,UM,1.0,1.0,BLR
GEO,Georgia,2019,UM,0.7079101261926751,1.412608695652173,IDN
IDN,Indonesia,2019,UM,1.0,1.0,IDN
KAZ,Kazakhstan,2019,UM,1.0000000000000002,0.9999999999999998,KAZ
MKD,North Macedonia,2019,UM,0.9261311172668516,1.0797607178464603,IDN
PER,Peru,2019,UM,1.0,1.0,PER
RUS,Russian Federation,2019,UM,0.9520878218939162,1.0503232758620689,IDN
SRB,Serbia,2019,UM,0.9384425977223759,1.065595277140046,IDN
IDN,Indonesia,2020,LM,1.0,1.0,IDN
MNG,Mongolia,2020,LM,0.8723534826633935,1.146324305311291,IDN
VNM,Viet Nam,2020,LM,0.9362790221949472,1.0680576797028623,IDN
ARM,Armenia,2020,UM,0.7954851403127267,1.2570945066388959,KAZ
BLR,Belarus,2020,UM,0.9298353682805893,1.0754591985989477,"KAZ,PER"
GEO,Georgia,2020,UM,0.7179248213730974,1.3929035049762004,KAZ
KAZ,Kazakhstan,2020,UM,1.0,1.0,KAZ
MEX,Mexico,2020,UM,0.9895412654033348,1.0105692758476346,KAZ
PER,Peru,2020,UM,1.0,1.0,PER
RUS,Russian Federation,2020,UM,0.990683403752689,1.0094042114887762,"KAZ,PER"
ARM,Armenia,2021,UM,0.832052347320316,1.2018474597428532,KAZ
BLR,Belarus,2021,UM,1.0,1.0,BLR
GEO,Georgia,2021,UM,0.7124013294557543,1.4037031637264903,KAZ
KAZ,Kazakhstan,2021,UM,1.0000000000000002,0.9999999999999998,KAZ
PER,Peru,2021,UM,1.0,1.0,PER
