Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,WB_Region,Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,"Region_Middle East, North Africa, Afghanistan & Pakistan",Region_North America,Region_South Asia
Mauritius,MUS,3,-4.980771248111875,6.243333333333333,50.64103825666666,8.60862017,2006,2017,0.7535127833333334,0.7909293333333333,0.3677251666666666,0.9113157952380952,37.0,Sub-Saharan Africa,False,False,False,False,False,False
Mexico,MEX,7,-7.165958942963085,2.87,42.29443141285714,10.456084524285714,2008,2020,-0.237474911111111,-0.0182757857142857,-0.5594777142857142,-0.5576006238095237,49.11666666666667,Latin America & Caribbean,False,False,True,False,False,False
Moldova,MDA,22,3.136694845772257,13.84681818181818,42.771531451818184,12.37154834909091,2000,2021,-0.395302315079365,-0.5829844714285715,-0.8433398857142856,-0.3589710571428571,31.027272727272727,Europe & Central Asia,False,True,False,False,False,False
Mongolia,MNG,10,-2.0239321450807664,5.181,32.333639717,7.949949027,2002,2021,-0.0753197404761904,-0.4731120238095238,-0.5307752571428571,-0.1574558095238095,33.3125,East Asia & Pacific,True,False,False,False,False,False
Montenegro,MNE,5,-0.4227734437766054,9.07,38.726657868000004,11.128071976,2011,2015,0.0612960756448412,0.01418458125,-0.2064629761904761,0.0261269047619047,34.61176470588235,Europe & Central Asia,False,True,False,False,False,False
Morocco,MAR,4,3.018542103732581,13.775,52.709965707500004,5.609845637499999,2000,2019,-0.3549198952380952,-0.2322267571428571,-0.386536019047619,-0.3296119809523809,40.26666666666667,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Mozambique,MOZ,4,-1.0754260776136944,1.8025,14.830069779999999,5.7056599875,2002,2019,-0.579762423015873,-0.6764776904761904,-0.7116303142857143,-0.7803565904761904,49.275,Sub-Saharan Africa,False,False,False,False,False,False
Myanmar,MMR,2,-1.309461324868165,13.265,73.068683625,4.170358895,2015,2017,-1.4360850626984127,-1.4530467904761903,-1.2136983714285714,-1.4628903666666666,34.4,East Asia & Pacific,True,False,False,False,False,False
Namibia,NAM,2,-2.1513856087040546,1.37,7.543648005,12.921407225,2009,2015,0.3392272682539682,0.2634442904761904,0.3435559523809524,0.2553609380952381,61.13333333333333,Sub-Saharan Africa,False,False,False,False,False,False
Nepal,NPL,5,-1.6444275174908565,10.196000000000002,58.453132630000006,5.22682438,2003,2016,-0.7911279396825397,-0.9494656952380952,-0.7564447619047618,-0.625882880952381,38.3,South Asia,False,False,False,False,False,True
Nicaragua,NIC,3,8.301474255365774,18.953333333333333,38.010375976666666,15.490605673333334,2001,2014,-0.6783028293650792,-0.8821555428571428,-0.9161746190476192,-0.8779972761904761,47.95,Latin America & Caribbean,False,False,True,False,False,False
Niger,NER,3,-6.336965904342557,5.63,52.681032816666665,9.665480296666667,2005,2018,-0.6474525753968253,-0.7463455809523809,-0.6158096904761904,-0.6466812380952381,36.28333333333333,Sub-Saharan Africa,False,False,False,False,False,False
Nigeria,NGA,6,4.850222322461848,19.561666666666667,74.14116414166666,3.880681953333333,2003,2018,-1.1372303896825395,-1.0616251714285714,-1.2212059,-1.069843476190476,36.46,Sub-Saharan Africa,False,False,False,False,False,False
North Macedonia,MKD,10,-3.5634158872083375,6.868,40.211814118,13.223725128000002,2000,2019,-0.2451648968253968,-0.2724270428571428,-0.3969943952380952,-0.3458285333333333,37.80555555555556,Europe & Central Asia,False,True,False,False,False,False
Pakistan,PAK,8,-8.118194424169676,4.28875,63.09672594125,3.88395303375,2001,2018,-1.058039526984127,-0.6273655285714286,-1.0183605238095237,-0.9242443666666668,29.944444444444443,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Panama,PAN,4,-4.438994663254787,6.1325,31.0393133175,20.0738644575,2003,2017,0.1059532841269841,0.1259252142857142,-0.4417418999999999,-0.1516253333333332,52.523809523809526,Latin America & Caribbean,False,False,True,False,False,False
Paraguay,PRY,2,-2.675614707135998,9.885,49.551149370000005,13.82263184,2000,2011,-0.6046012436507936,-0.8337107190476191,-1.0087739142857142,-0.7044734714285714,49.900000000000006,Latin America & Caribbean,False,False,True,False,False,False
Peru,PER,16,1.006909681283064,10.20125,34.0258350375,13.404486894375,2000,2021,-0.2467703246031746,-0.3512258809523809,-0.4075950523809524,-0.4942808095238095,46.445454545454545,Latin America & Caribbean,False,False,True,False,False,False
Philippines,PHL,6,-6.254999975618621,4.516666666666667,51.333342235,6.618541478333333,2000,2015,-0.4076232214285714,0.0461537238095237,-0.6425417333333333,-0.5203856904761904,45.2375,East Asia & Pacific,True,False,False,False,False,False
