Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,GGHE_pct
Kyrgyz Republic,KGZ,2007,0.22150870245241114,97.36,190.386904926958,10.42505074
St. Kitts and Nevis,KNA,2007,0.1964802238904642,95.87,1021.86425510155,6.48289871
"Korea, Rep.",KOR,2007,0.12591142163099212,88.17,1516.24020907675,10.11632919
Lao PDR,LAO,2007,0.4872800396358054,89.88,106.445277999075,3.90299487
Liberia,LBR,2007,0.547604586537181,92.14,52.6807179584917,4.25491762
Latvia,LVA,2007,0.13111006043298834,84.63,1001.82521819784,9.7152071
Moldova,MDA,2007,0.13695101916306537,85.55,416.696585079543,13.18110943
Pakistan,PAK,2007,0.6331228854423233,97.29,96.3473914159621,2.82084775
Panama,PAN,2007,0.0702982241721177,96.69,996.273372500364,22.24735832
Poland,POL,2007,0.13351720517247567,85.82,986.993088290802,9.54005432
West Bank and Gaza,PSE,2007,0.22100032628722546,90.61,298.075140046378,7.4269166
Romania,ROU,2007,0.12169562202560462,89.43,680.145225085951,10.90507507
Serbia,SRB,2007,0.09394267537265193,88.59,1051.51854596173,13.55892181
Slovak Republic,SVK,2007,0.09280469583671164,96.26,1523.9607583405,13.72518253
Slovenia,SVN,2007,0.10458170302145162,97.37,2079.35415446143,12.17958164
Syrian Arab Republic,SYR,2007,0.2684713051437768,93.12,205.521887831326,6.85482645
Thailand,THA,2007,0.15041601787803036,96.86,374.292196480279,12.38446522
Tajikistan,TJK,2007,0.3914716399500828,93.54,108.730947290951,5.30023098
Timor-Leste,TLS,2007,0.9999999999999998,97.64,85.6384888858452,1.27376139
Turkiye,TUR,2007,0.11630097391523173,94.86,772.124718326201,10.95228481
Tanzania,TZA,2007,0.2993275300196805,97.76,121.511256918191,10.88657188
Ukraine,UKR,2007,0.16144671783965278,90.93,515.896755347899,8.16024208
Angola,AGO,2008,0.3508159804885908,87.74,221.018857513397,4.0603714
Albania,ALB,2008,0.1843028844439814,86.09,446.390677735541,7.25106478
Armenia,ARM,2008,0.1903277741001486,91.74,542.033589305765,6.69246197
Belarus,BLR,2008,0.2194851147706568,95.94,759.896155071899,5.80340672
Brazil,BRA,2008,0.14508234615242566,84.93,1077.13686756609,8.77957535
Central African Republic,CAF,2008,0.5944049112543374,93.25,32.8893014008349,5.28349304
Canada,CAN,2008,0.07370489687900784,95.7,3850.42762549652,17.28190994
Switzerland,CHE,2008,0.13024515038858195,93.1,5132.87084124926,9.77972221
Cote d'Ivoire,CIV,2008,0.4080996064949506,82.56,127.226094166407,4.65788126
Colombia,COL,2008,0.09659776541230461,79.99,698.00166072678,16.6930294
Czechia,CZE,2008,0.15089640816176214,98.04,1777.90515369627,12.54553795
"Egypt, Arab Rep.",EGY,2008,0.2710564953335673,87.43,384.65691893663,4.69924688
Spain,ESP,2008,0.08593215226819632,94.16,2828.64095120369,14.82287312
Fiji,FJI,2008,0.3803031686824722,99.22,251.365178279479,9.78181839
Georgia,GEO,2008,0.26368131084610436,77.88,607.99154245463,4.83068514
Grenada,GRD,2008,0.18099748195144463,96.83,592.486456865113,7.03745365
Croatia,HRV,2008,0.10211783522827204,97.73,1603.33224521352,13.83800697
"Iran, Islamic Rep.",IRN,2008,0.13443153293754223,87.4,825.853896161973,9.47516823
Israel,ISR,2008,0.12818213041875715,88.96000000000001,1972.62167521108,9.93712139
Jordan,JOR,2008,0.14972566198234316,98.28,762.560761124852,15.12543488
Kazakhstan,KAZ,2008,0.1580521186389436,96.35,522.794475411084,8.41329765
Kyrgyz Republic,KGZ,2008,0.20824765725087752,96.33,196.927856024391,10.38534927
"Korea, Rep.",KOR,2008,0.1300321998600734,88.9,1661.10742127808,9.79573822
Lithuania,LTU,2008,0.10911208882244741,87.15,1298.46141307335,11.67387962
Latvia,LVA,2008,0.14475276262850673,84.9,1085.89409916753,8.79956532
Moldova,MDA,2008,0.1352027550789815,85.07,455.954977328121,12.7215929
Mexico,MEX,2008,0.1350073990176527,96.42,853.944386403223,9.43475246
Malta,MLT,2008,0.1058995583924393,83.8,2093.54365749167,12.02801418
Mozambique,MOZ,2008,0.8196114009826013,98.81,37.8828062319655,5.66810656
Panama,PAN,2008,0.07362633420380627,96.91,1014.27274369661,20.06934547
Peru,PER,2008,0.15522323564839247,88.43,402.027471399456,10.98999786
Poland,POL,2008,0.12398832816876305,86.0,1167.31725923555,10.27323627
Romania,ROU,2008,0.11794264830351692,88.52,838.941273393197,10.79983711
Serbia,SRB,2008,0.0985154497577244,90.42,1195.34585866273,12.92955971
Slovak Republic,SVK,2008,0.0893602351947376,95.66,1651.42538569973,14.2542305
Thailand,THA,2008,0.13720953232850475,97.03,417.271091770892,13.49731636
Turkiye,TUR,2008,0.11315789046094847,96.26,830.845515993442,11.25649643
Ukraine,UKR,2008,0.1879835498752623,94.17,493.712551015265,6.77591944
United States,USA,2008,0.06998215615196572,95.44,7364.93852233971,18.201231
Viet Nam,VNM,2008,0.23791074200681772,85.45,211.215031699394,8.12048721
South Africa,ZAF,2008,0.0978708688113308,97.07,895.346293557967,13.01471424
Armenia,ARM,2009,0.20075354586930733,90.26,598.690644088707,6.34490108
Australia,AUS,2009,0.0831242460592066,97.67,3545.91580074301,15.88237
Belgium,BEL,2009,0.08854740668939087,88.55,4010.79218849231,14.38507843
Burkina Faso,BFA,2009,0.41137092894180516,96.48,70.6610282519379,7.62939405
Belarus,BLR,2009,0.18923759338678425,96.47,756.308025796097,6.73101664
Botswana,BWA,2009,0.5405309452166123,99.0,773.701880162555,6.25206232
Canada,CAN,2009,0.07351950568663414,95.6,4135.87675541776,17.32548904
Switzerland,CHE,2009,0.12771161199008632,90.95,5376.38982986911,9.97373199
