iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
ROU,2009,0.7022604493302361,449.37692261,0.0,10.44604111,5.27816248,42.84460674034943,9.743999999999998,32.48
SDN,2009,0.8335799748916068,80.00441742,0.0,14.01954556,6.39496326,32.435690085761856,8.892,29.64
SRB,2009,0.5357207814367411,575.262146,0.0,13.46972656,8.98933506,41.33544714727681,7.191,23.97
TUR,2009,0.6664715385668684,492.30032349,0.0,11.8805933,5.49438715,43.15975240328196,2.6849999999999996,8.95
UKR,2009,0.8024668924062667,165.98542786,0.0,7.91855955,6.60991716,36.606389133660855,5.145,17.15
ARM,2010,0.4280754365973765,291.77758789,30.31054002748816,6.43608856,9.23538303,37.41561644900578,10.568999999999999,35.23
BLR,2010,0.6085581655295965,341.13800049,0.0,8.68532658,5.65694332,41.015154834413835,5.526000000000001,18.42
EST,2010,1.0,966.19024658,0.0,11.89297581,6.59404182,45.6797234422331,5.712,19.04
GRC,2010,0.4586209184061983,2564.36987305,0.0,12.48673058,9.61952496,48.81917933252693,9.843,32.81
IDN,2010,0.999999991016422,85.55950165,0.0,3.91489625,2.7908783,37.457484308244986,2.04,6.8
ITA,2010,0.47551193192651464,3190.72045898,0.0,13.98853397,8.87928963,50.37773143804014,4.577999999999999,15.26
LSO,2010,0.39985497290773775,85.87903595,2.7935117264593146,7.1979928,7.4048481,32.16718530689982,1.428,4.76
LVA,2010,1.0,689.07720947,0.0,7.99293184,6.22420359,44.25855599849963,13.209,44.03
MDA,2010,1.0,198.28894043,0.0,13.62691975,10.13112831,36.25160801730809,10.386,34.62
MDG,2010,1.0,21.13975906,0.0,15.20979691,4.69762659,27.385628042921763,0.6779999999999999,2.26
MEX,2010,1.0,534.08520508,0.0,10.41032505,5.4897337,43.52412945250197,2.082,6.94
NGA,2010,0.9999999992782932,73.008255,18.006856397582354,2.70293093,3.29653287,35.72008344238947,8.994,29.98
